Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,1,146,132,95,18,14,0,0,0,0,0
C:\Users\Bobby\Desktop\HelloWorld,1,146,132,95,18,14,0,0,0,0,0
